repo,issue_id,issue_url,annotator_1_ob,annotator_1_eb,annotator_1_s2r,annotator_2_ob,annotator_2_eb,annotator_2_s2r,consensus_ob,consensus_eb,consensus_s2r,double_labeled,consensus_notes
"scikit-learn","31722","https://github.com/scikit-learn/scikit-learn/issues/31722","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65100","https://github.com/pandas-dev/pandas/issues/65100","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319000","https://github.com/microsoft/vscode/issues/319000","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63735","https://github.com/pandas-dev/pandas/issues/63735","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","64978","https://github.com/pandas-dev/pandas/issues/64978","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65735","https://github.com/pandas-dev/pandas/issues/65735","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63630","https://github.com/pandas-dev/pandas/issues/63630","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63567","https://github.com/pandas-dev/pandas/issues/63567","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63078","https://github.com/pandas-dev/pandas/issues/63078","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63574","https://github.com/pandas-dev/pandas/issues/63574","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29595","https://github.com/scikit-learn/scikit-learn/issues/29595","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","318977","https://github.com/microsoft/vscode/issues/318977","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319244","https://github.com/microsoft/vscode/issues/319244","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320806","https://github.com/microsoft/vscode/issues/320806","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","321416","https://github.com/microsoft/vscode/issues/321416","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321761","https://github.com/microsoft/vscode/issues/321761","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33993","https://github.com/scikit-learn/scikit-learn/issues/33993","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319618","https://github.com/microsoft/vscode/issues/319618","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63089","https://github.com/pandas-dev/pandas/issues/63089","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33757","https://github.com/scikit-learn/scikit-learn/issues/33757","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63472","https://github.com/pandas-dev/pandas/issues/63472","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33032","https://github.com/scikit-learn/scikit-learn/issues/33032","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63830","https://github.com/pandas-dev/pandas/issues/63830","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33541","https://github.com/scikit-learn/scikit-learn/issues/33541","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33034","https://github.com/scikit-learn/scikit-learn/issues/33034","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","30371","https://github.com/scikit-learn/scikit-learn/issues/30371","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319783","https://github.com/microsoft/vscode/issues/319783","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29679","https://github.com/scikit-learn/scikit-learn/issues/29679","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320625","https://github.com/microsoft/vscode/issues/320625","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29019","https://github.com/scikit-learn/scikit-learn/issues/29019","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","322520","https://github.com/microsoft/vscode/issues/322520","Sufficient","Sufficient","Missing","","","","Sufficient","Sufficient","Missing","FALSE",""
"pandas","64546","https://github.com/pandas-dev/pandas/issues/64546","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319001","https://github.com/microsoft/vscode/issues/319001","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63757","https://github.com/pandas-dev/pandas/issues/63757","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28488","https://github.com/scikit-learn/scikit-learn/issues/28488","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","34003","https://github.com/scikit-learn/scikit-learn/issues/34003","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322943","https://github.com/microsoft/vscode/issues/322943","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63732","https://github.com/pandas-dev/pandas/issues/63732","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321778","https://github.com/microsoft/vscode/issues/321778","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320617","https://github.com/microsoft/vscode/issues/320617","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33355","https://github.com/scikit-learn/scikit-learn/issues/33355","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63437","https://github.com/pandas-dev/pandas/issues/63437","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320830","https://github.com/microsoft/vscode/issues/320830","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319617","https://github.com/microsoft/vscode/issues/319617","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","32036","https://github.com/scikit-learn/scikit-learn/issues/32036","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322110","https://github.com/microsoft/vscode/issues/322110","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","64123","https://github.com/pandas-dev/pandas/issues/64123","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319006","https://github.com/microsoft/vscode/issues/319006","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","31407","https://github.com/scikit-learn/scikit-learn/issues/31407","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320074","https://github.com/microsoft/vscode/issues/320074","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65333","https://github.com/pandas-dev/pandas/issues/65333","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322760","https://github.com/microsoft/vscode/issues/322760","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320389","https://github.com/microsoft/vscode/issues/320389","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","322525","https://github.com/microsoft/vscode/issues/322525","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29145","https://github.com/scikit-learn/scikit-learn/issues/29145","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321336","https://github.com/microsoft/vscode/issues/321336","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33295","https://github.com/scikit-learn/scikit-learn/issues/33295","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319861","https://github.com/microsoft/vscode/issues/319861","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33383","https://github.com/scikit-learn/scikit-learn/issues/33383","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","66009","https://github.com/pandas-dev/pandas/issues/66009","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319557","https://github.com/microsoft/vscode/issues/319557","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"scikit-learn","32045","https://github.com/scikit-learn/scikit-learn/issues/32045","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"pandas","65778","https://github.com/pandas-dev/pandas/issues/65778","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","32459","https://github.com/scikit-learn/scikit-learn/issues/32459","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","31185","https://github.com/scikit-learn/scikit-learn/issues/31185","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28827","https://github.com/scikit-learn/scikit-learn/issues/28827","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322216","https://github.com/microsoft/vscode/issues/322216","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319423","https://github.com/microsoft/vscode/issues/319423","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321403","https://github.com/microsoft/vscode/issues/321403","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","32175","https://github.com/scikit-learn/scikit-learn/issues/32175","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","64196","https://github.com/pandas-dev/pandas/issues/64196","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63604","https://github.com/pandas-dev/pandas/issues/63604","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29648","https://github.com/scikit-learn/scikit-learn/issues/29648","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63903","https://github.com/pandas-dev/pandas/issues/63903","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321237","https://github.com/microsoft/vscode/issues/321237","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","323204","https://github.com/microsoft/vscode/issues/323204","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","322973","https://github.com/microsoft/vscode/issues/322973","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","319770","https://github.com/microsoft/vscode/issues/319770","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","65140","https://github.com/pandas-dev/pandas/issues/65140","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29051","https://github.com/scikit-learn/scikit-learn/issues/29051","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63790","https://github.com/pandas-dev/pandas/issues/63790","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63681","https://github.com/pandas-dev/pandas/issues/63681","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","28983","https://github.com/scikit-learn/scikit-learn/issues/28983","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","318795","https://github.com/microsoft/vscode/issues/318795","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","319622","https://github.com/microsoft/vscode/issues/319622","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320297","https://github.com/microsoft/vscode/issues/320297","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"scikit-learn","33154","https://github.com/scikit-learn/scikit-learn/issues/33154","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321049","https://github.com/microsoft/vscode/issues/321049","Sufficient","Missing","Ambiguous","","","","Sufficient","Missing","Ambiguous","FALSE",""
"scikit-learn","33167","https://github.com/scikit-learn/scikit-learn/issues/33167","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33079","https://github.com/scikit-learn/scikit-learn/issues/33079","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","65810","https://github.com/pandas-dev/pandas/issues/65810","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","34139","https://github.com/scikit-learn/scikit-learn/issues/34139","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29498","https://github.com/scikit-learn/scikit-learn/issues/29498","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","33616","https://github.com/scikit-learn/scikit-learn/issues/33616","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319003","https://github.com/microsoft/vscode/issues/319003","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","33174","https://github.com/scikit-learn/scikit-learn/issues/33174","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320352","https://github.com/microsoft/vscode/issues/320352","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","318786","https://github.com/microsoft/vscode/issues/318786","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319538","https://github.com/microsoft/vscode/issues/319538","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","32312","https://github.com/scikit-learn/scikit-learn/issues/32312","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321018","https://github.com/microsoft/vscode/issues/321018","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","29202","https://github.com/scikit-learn/scikit-learn/issues/29202","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320434","https://github.com/microsoft/vscode/issues/320434","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","319371","https://github.com/microsoft/vscode/issues/319371","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","32870","https://github.com/scikit-learn/scikit-learn/issues/32870","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","64271","https://github.com/pandas-dev/pandas/issues/64271","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"pandas","63650","https://github.com/pandas-dev/pandas/issues/63650","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","31415","https://github.com/scikit-learn/scikit-learn/issues/31415","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319360","https://github.com/microsoft/vscode/issues/319360","Sufficient","Sufficient","Missing","","","","Sufficient","Sufficient","Missing","FALSE",""
"scikit-learn","34307","https://github.com/scikit-learn/scikit-learn/issues/34307","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319949","https://github.com/microsoft/vscode/issues/319949","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","30896","https://github.com/scikit-learn/scikit-learn/issues/30896","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","29366","https://github.com/scikit-learn/scikit-learn/issues/29366","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"scikit-learn","30527","https://github.com/scikit-learn/scikit-learn/issues/30527","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320551","https://github.com/microsoft/vscode/issues/320551","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","322174","https://github.com/microsoft/vscode/issues/322174","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","318630","https://github.com/microsoft/vscode/issues/318630","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","319858","https://github.com/microsoft/vscode/issues/319858","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319605","https://github.com/microsoft/vscode/issues/319605","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"pandas","63521","https://github.com/pandas-dev/pandas/issues/63521","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","321441","https://github.com/microsoft/vscode/issues/321441","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","28977","https://github.com/scikit-learn/scikit-learn/issues/28977","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","323148","https://github.com/microsoft/vscode/issues/323148","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","30525","https://github.com/scikit-learn/scikit-learn/issues/30525","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320750","https://github.com/microsoft/vscode/issues/320750","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","320013","https://github.com/microsoft/vscode/issues/320013","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","320537","https://github.com/microsoft/vscode/issues/320537","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","318748","https://github.com/microsoft/vscode/issues/318748","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
"vscode","319769","https://github.com/microsoft/vscode/issues/319769","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"scikit-learn","28801","https://github.com/scikit-learn/scikit-learn/issues/28801","Sufficient","Missing","Missing","","","","Sufficient","Missing","Missing","FALSE",""
"vscode","321175","https://github.com/microsoft/vscode/issues/321175","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"vscode","320561","https://github.com/microsoft/vscode/issues/320561","Sufficient","Missing","Sufficient","","","","Sufficient","Missing","Sufficient","FALSE",""
"scikit-learn","34005","https://github.com/scikit-learn/scikit-learn/issues/34005","Sufficient","Sufficient","Sufficient","","","","Sufficient","Sufficient","Sufficient","FALSE",""
